chembl_id	pref_name	max_phase	first_approval	molecule_type	oral	parenteral	topical	natural_product	prodrug	inorganic	polymer	veterinary	withdrawn	canonical_smiles	inchi_key	mw	alogp	hba	hbd	psa	rtb	ro5_viol	qed	heavy_atoms	aromatic_rings	smiles_clean	herg
CHEMBL1200732	AMCINONIDE	4	1979	Small molecule	0	0	1	0	0			0		CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C			3.52	7	1	99.13	3			36	0	CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C	ok
CHEMBL1200733	DESFLURANE	4	1992	Small molecule	0	0	1	0	0			0		FC(F)OC(F)C(F)(F)F			2.08	1	0	9.23	2			10	0	FC(F)OC(F)C(F)(F)F	ok
CHEMBL1200734	FOSAMPRENAVIR CALCIUM	4	2003	Small molecule	1	0	0	0	1			0		CC(C)CN(C[C@@H](OP(=O)([O-])[O-])[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1.[Ca+2]			2.52	8	4	177.72	13			39	2	CC(C)CN(C[C@@H](OP(=O)([O-])[O-])[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1	ok
CHEMBL1200737	COLFOSCERIL PALMITATE	4	1990	Small molecule	0	1	0	1	0			0		CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC			10.61	8	0	111.19	38			50	0	CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC	ok
CHEMBL1200743	IOXAGLATE SODIUM	4	1985	Small molecule	0	1	0	0	0			0		CNC(=O)c1c(I)c(C(=O)NCC(=O)Nc2c(I)c(C(=O)[O-])c(I)c(C(=O)NCCO)c2I)c(I)c(N(C)C(C)=O)c1I.[Na+]												CNC(=O)c1c(I)c(C(=O)NCC(=O)Nc2c(I)c(C(=O)[O-])c(I)c(C(=O)NCCO)c2I)c(I)c(N(C)C(C)=O)c1I	ok
CHEMBL1200751	MERCAPTOPURINE	4	1953	Small molecule	1	0	0	0	0			0		O.S=c1[nH]cnc2nc[nH]c12			0.64	4	2	54.46	0			10	2	S=c1[nH]cnc2nc[nH]c12	ok
CHEMBL1200758	AMPICILLIN SODIUM	4	1971	Small molecule	0	1	0	1	0			0		CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+]			0.32	5	3	112.73	4			24	1	CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-]	ok
CHEMBL1200760	BALSALAZIDE DISODIUM	4	2000	Small molecule	1	0	0	0	1			0		O=C([O-])CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)[O-])c2)cc1.[Na+].[Na+]			2.71	6	4	148.65	7			26	2	O=C([O-])CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)[O-])c2)cc1	ok
CHEMBL1200761	CHLOROTRIANISENE	4	1982	Small molecule	1	0	0	1	0			0		COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1			5.87	3	0	27.69	6			27	3	COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1	ok
CHEMBL1200762	BETAMETHASONE SODIUM PHOSPHATE	4	1965	Small molecule	0	1	0	0	1			0		C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)([O-])[O-].[Na+].[Na+]			2.01	6	4	141.36	4			32	0	C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)([O-])[O-]	ok
